beta0,beta_LUT,beta_Humid,beta_TEMP,alpha,rho_int,rho_slo,tau_int,tau_slo
-7.5852844193308595,-0.0048052408110612725,-0.06238056974749586,0.21591824020000988,-0.4217991584290299,0.023170166271278807,0.08990867353317336,1.1032981196869853,1.179314394585123
-7.557590039299925,-0.0047499948422329895,-0.062471890173900056,0.21521700829239673,-0.40840461295027203,0.054201468884213046,0.09296668975114841,1.183657632644938,1.0621730235526496
-7.624083583938714,-0.00487444403943572,-0.06225213206493797,0.2170890285174159,-0.4129701911157604,0.013740894397690983,0.046707005733062926,1.073465118183335,1.060308292236351
-7.624899346319651,-0.00486747616838421,-0.06221334590035475,0.21699270347315675,-0.415976146996638,0.01826301747001077,0.050146366818397126,1.0520112714998717,1.0473499627849345
-7.624997750900783,-0.004801120755804963,-0.06219441016233187,0.2168906863994059,-0.41047518897319024,0.008630546288692875,0.11178990821921904,1.1231302746590173,1.1525738164925479
-7.579533409284976,-0.0047641288461835055,-0.062219685833793476,0.2153083419110678,-0.4005501575088133,0.009193641423831755,0.04324360107744669,1.1271057419573194,1.0315647120728184
-7.631866941781394,-0.004517928467567844,-0.06224055125935988,0.21712620263957008,-0.420532311293655,0.014413859736173536,0.06443108122592307,1.1490493287019927,1.0374043473850765
-7.625921240909106,-0.004536249688963506,-0.062286649588586054,0.21706408436999483,-0.4300678211488492,0.0179348317455651,0.051122780230903636,1.1452912862262972,1.0666909979151609
-7.6340508495611425,-0.004622870351854374,-0.062253377138199145,0.21730771131037338,-0.4309043092965367,0.02642624202458948,0.05747173803324006,1.1545332751368087,1.1194681451091026
-7.629272260863098,-0.004728973768685835,-0.0622088394599676,0.21709495297862702,-0.41768513522177486,0.017631015825535085,0.1402035145638689,1.1229324737200093,1.1298272485982797
-7.618303985121539,-0.004650859548606596,-0.06233062447395763,0.21687218756819643,-0.4209416141435062,0.04158588729649609,0.1657635839214718,1.0875091834813417,1.1583152132372372
-7.624634315444443,-0.004664710794941274,-0.062284097223590414,0.21702795279759202,-0.4140585434261531,0.038475897916797765,0.09725595662857395,1.1624874964771108,1.0721569582476826
-7.62780936415354,-0.004641759563076129,-0.06229761295530838,0.21715837527385123,-0.41803174113819525,0.04305458801172134,0.061619014744700565,1.156125760627643,1.0976942667092813
-7.60873077495428,-0.004731487361940911,-0.06232623198758816,0.21664412120458698,-0.4437969470155295,0.010588691001122605,0.026602080409613305,1.0684539961715203,0.9982713267867018
-7.589671607015088,-0.004762153156045996,-0.06245276585830737,0.2161981228044241,-0.4426892016648098,0.029245398034856446,0.10879397548947484,1.066435295884926,1.113345325639695
-7.597016384007778,-0.00470780450962158,-0.062331832959186005,0.2161900327882911,-0.4332335829224769,0.014212367593781023,0.10380169573232532,1.124707750614268,1.1057958767746767
-7.602243038972508,-0.004774753313303815,-0.06247534659734413,0.21670944990208063,-0.4338164877295454,0.02813962030437989,0.056543941807238866,1.048260524762285,1.004976973431431
-7.600719307309717,-0.004780456690351506,-0.062486174222674634,0.21667845287182172,-0.4466906341828999,0.042704318700522506,0.039760733642590654,1.0479098430312883,1.0199571330010326
-7.564495325240583,-0.004734860750200628,-0.06227290642799481,0.21491992733829962,-0.4349474490338368,0.024312903231178327,0.14018528908982505,1.0793707719079808,1.2728724460464518
-7.633620739020806,-0.0045697257461161,-0.062201279726850425,0.21731401236951065,-0.4537944813035575,0.020676077876573048,0.07246708695499289,1.1657024221509205,1.1387735462945863
-7.616911086623118,-0.004659438667342578,-0.06227360279342062,0.21692113111174524,-0.4403372811498735,0.010050003180336706,0.1237652227021836,1.1031759371821206,1.1387248314619254
-7.629637678720118,-0.0046694451300049455,-0.06230382834474081,0.2174911360873636,-0.44481227132647094,0.020166802827129477,0.08416252319489381,1.056257016781508,1.1148332160533814
-7.616974903269238,-0.004708107405830986,-0.06230248621381565,0.21693414400551683,-0.43885691180086,0.023668827225436707,0.07861210136169082,1.092495491015446,1.080743863786041
-7.60466448718885,-0.004666327320830507,-0.06220161761724527,0.21636550725012105,-0.4422452866553417,0.04359840537562423,0.07982592773576834,1.1314949407695207,1.0406090658348996
-7.649695849588817,-0.004837161317397342,-0.06224875699188035,0.21797593584625413,-0.43904605132545427,0.02597021760868999,0.04379537858897778,1.0810809427591064,1.014928049099098
-7.641791126510357,-0.0048709383028677075,-0.06214178424235309,0.21754125236279098,-0.4352442502166293,0.054012097561962735,0.03696681906976662,1.170591719001456,1.0240517152680286
-7.610661917812207,-0.004709714427882616,-0.062417716423352025,0.21694530925934863,-0.4320724474008921,0.014937025346298356,0.11570809627055204,1.0659839828226871,1.1486257370867834
-7.603962209249741,-0.004789490940523516,-0.06216172126910974,0.21618223842710202,-0.4508566769496475,0.012372147105393399,0.09814816339611467,1.0860210211306947,1.1599429737798945
-7.601773155952976,-0.00458611133629241,-0.06245880093372277,0.2166588544516255,-0.44706395025612594,0.04995284106912493,0.03469169946743856,1.1372400644711662,1.0442770820743676
-7.6145103966519665,-0.004688708947377895,-0.06236125268126274,0.21694570661693582,-0.45371712704836514,0.04479240119537043,0.06701658378424068,1.1826953978621908,1.0661243038390371
-7.573973003717276,-0.004700759829027672,-0.062309048409112354,0.21531334581999745,-0.44214733962187336,0.01636726073709715,0.057403046090225646,1.0850493673840038,1.0632327066720708
-7.59143593211783,-0.004631153187580344,-0.062232687929275984,0.21583781011252534,-0.445188064425474,0.0462179283727245,0.026307513523314556,1.1341330623149575,1.017860172552851
-7.6098949339896755,-0.004656472601353224,-0.06234708620895977,0.2167096269906107,-0.4550146129187293,0.015391499194392847,0.0811481317601796,1.0758136998244123,1.0938623431949235
